AirportCode;CityCode;CountryCode;LocationType;Names;UtcOffset;TimeZoneId;Latitude;Longitude;Continent
IVL;IVL;FI;Airport;Ivalo;+02:00;Europe/Helsinki;68.6072;27.4053;Europe
JER;JER;GB;Airport;Jersey;+00:00;Europe/London;49.2078;-2.1953;Europe
JKG;JKG;SE;Airport;Jonkoping;+01:00;Europe/Stockholm;57.7575;14.0686;Europe
JKH;JKH;GR;Airport;Chios;+02:00;Europe/Athens;38.3431;26.1406;Europe
JMK;JMK;GR;Airport;Mykonos;+02:00;Europe/Athens;37.435;25.3481;Europe
JNX;JNX;GR;Airport;Naxos;+02:00;Europe/Athens;37.0822;25.3686;Europe
JSH;JSH;GR;Airport;Siteia;+02:00;Europe/Athens;35.2161;26.1014;Europe
JSI;JSI;GR;Airport;Skiathos;+02:00;Europe/Athens;39.1772;23.5036;Europe
JSY;JSY;GR;Airport;Syros Island;+02:00;Europe/Athens;37.4228;24.95;Europe
JTR;JTR;GR;Airport;Thira;+02:00;Europe/Athens;36.3992;25.4794;Europe
JTY;JTY;GR;Airport;Astypalaia Island;+02:00;Europe/Athens;36.58;26.3756;Europe
KAO;KAO;FI;Airport;Kuusamo;+02:00;Europe/Helsinki;65.9875;29.2394;Europe
KBP;IEV;UA;Airport;Kiev;+02:00;Europe/Zaporozhye;50.345;30.8947;Europe
KCM;KCM;TR;Airport;Kahramanmaras;+03:00;Europe/Istanbul;37.5389;36.9533;Europe
KCO;KCO;TR;Airport;Kocaeli;+03:00;Europe/Istanbul;40.7333;30.0833;Europe
KFS;KFS;TR;Airport;Kastamonu;+03:00;Europe/Istanbul;41.315;33.7961;Europe
KGS;KGS;GR;Airport;Kos;+02:00;Europe/Athens;36.7933;27.0917;Europe
KHE;KHE;UA;Airport;Kherson;+02:00;Europe/Zaporozhye;46.6772;32.5072;Europe
KIT;KIT;GR;Airport;Kithira;+02:00;Europe/Athens;36.2742;23.0169;Europe
KIV;KIV;MD;Airport;Chisinau;+02:00;Europe/Chisinau;46.9278;28.9308;Europe
KJR;FKB;DE;Rail Station;Karlsruhe Central Station;+01:00;Europe/Berlin;48.9936;8.4022;Europe
KKN;KKN;NO;Airport;Kirkenes;+01:00;Europe/Oslo;69.7258;29.8914;Europe
KLR;KLR;SE;Airport;Kalmar;+01:00;Europe/Stockholm;56.6856;16.2875;Europe
KLU;KLU;AT;Airport;Klagenfurt;+01:00;Europe/Vienna;46.6428;14.3378;Europe
KLX;KLX;GR;Airport;Kalamata;+02:00;Europe/Athens;37.0683;22.0256;Europe
KRK;KRK;PL;Airport;Krakow;+01:00;Europe/Warsaw;50.0778;19.7847;Europe
KRN;KRN;SE;Airport;Kiruna;+01:00;Europe/Stockholm;67.8219;20.3367;Europe
KRR;KRR;RU;Airport;Krasnodar;+03:00;Europe/Moscow;45.0325;39.1664;Europe
KRS;KRS;NO;Airport;Kristiansand;+01:00;Europe/Oslo;58.2042;8.0853;Europe
KSC;KSC;SK;Airport;Kosice;+01:00;Europe/Bratislava;48.6631;21.2411;Europe
KSU;KSU;NO;Airport;Kristiansund;+01:00;Europe/Oslo;63.1117;7.8244;Europe
KSY;KSY;TR;Airport;Kars;+03:00;Europe/Istanbul;40.5622;43.115;Europe
KTT;KTT;FI;Airport;Kittila;+02:00;Europe/Helsinki;67.7011;24.8469;Europe
KTW;KTW;PL;Airport;Katowice;+01:00;Europe/Warsaw;50.4742;19.08;Europe
KUF;KUF;RU;Airport;Samara;+04:00;Europe/Volgograd;53.5039;50.1517;Europe
KUN;KUN;LT;Airport;Kaunas;+02:00;Europe/Vilnius;54.9639;24.0847;Europe
