FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;AirlineID;FlightNumber;AircraftCode;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;StatusCode;StatusDescription
CL164;FRA;2023-05-19;22:15;2023-05-19;22:15;1;A23;DP;Flight Departed;CL;164;E90;2023-05-19;23:17;;;LD;Flight Landed;LD;Flight Landed
LH216;FRA;2023-05-19;22:15;2023-05-19;22:20;1;A32;DP;Flight Departed;LH;216;319;2023-05-19;23:26;;;LD;Flight Landed;LD;Flight Landed
LH576;FRA;2023-05-19;22:15;2023-05-19;22:18;1;Z62;DP;Flight Departed;LH;576;343;2023-05-20;10:17;;;LD;Flight Landed;LD;Flight Landed
LH1370;FRA;2023-05-19;22:15;2023-05-19;22:15;1;A30;DP;Flight Departed;LH;1370;320;2023-05-19;23:51;;;LD;Flight Landed;LD;Flight Landed
2A3496;FRA;2023-05-19;22:21;2023-05-19;22:24;Station;T06;DP;Flight Departed;2A;3496;TRN;2023-05-20;00:02;;;LD;Flight Landed;LD;Flight Landed
2A3566;FRA;2023-05-19;22:55;2023-05-19;22:56;Station;T05;DP;Flight Departed;2A;3566;TRN;2023-05-20;00:11;;;LD;Flight Landed;LD;Flight Landed
SN3732;MAD;2023-05-19;06:20;2023-05-19;06:14;2;;DP;Flight Departed;SN;3732;320;2023-05-19;08:48;;;LD;Flight Landed;LD;Flight Landed
LH1807;MAD;2023-05-19;07:15;2023-05-19;07:25;2;E73;DP;Flight Departed;LH;1807;32N;2023-05-19;09:45;2;K05;LD;Flight Landed;LD;Flight Landed
LH1123;MAD;2023-05-19;08:30;2023-05-19;08:26;2;E74;DP;Flight Departed;LH;1123;32A;2023-05-19;11:07;1;A28;LD;Flight Landed;LD;Flight Landed
LH1801;MAD;2023-05-19;11:55;2023-05-19;11:58;2;E74;DP;Flight Departed;LH;1801;32V;2023-05-19;14:24;2;K20;LD;Flight Landed;LD;Flight Landed
SN3722;MAD;2023-05-19;12:40;2023-05-19;13:15;2;;DP;Flight Departed;SN;3722;320;2023-05-19;15:31;;;LD;Flight Landed;LD;Flight Landed
LH1113;MAD;2023-05-19;13:00;2023-05-19;13:48;2;E80;DP;Flight Departed;LH;1113;32M;2023-05-19;16:27;1;A24;LD;Flight Landed;LD;Flight Landed
LH1803;MAD;2023-05-19;15:25;2023-05-19;15:31;2;E83;DP;Flight Departed;LH;1803;32V;2023-05-19;17:56;2;K01;LD;Flight Landed;LD;Flight Landed
SN3728;MAD;2023-05-19;17:35;2023-05-19;17:27;2;;DP;Flight Departed;SN;3728;320;2023-05-19;19:48;;;LD;Flight Landed;LD;Flight Landed
BT2033;MAD;2023-05-19;20:20;2023-05-19;20:23;2;;DP;Flight Departed;BT;2033;223;2023-05-19;22:43;;;LD;Flight Landed;LD;Flight Landed
LX1951;BCN;2023-05-19;06:05;2023-05-19;06:01;1;;DP;Flight Departed;LX;1951;320;2023-05-19;07:42;;;LD;Flight Landed;LD;Flight Landed
