FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
LH1300;FRA;2023-05-18;13:05;2023-05-18;13:34;1;B47;DP;Flight Departed;IST;2023-05-18;17:00;2023-05-18;17:45;;B01A;LD;Flight Landed;LH;1300;32N;LD;Flight Landed
2A3614;FRA;2023-05-18;13:07;2023-05-18;13:10;Station;T06;DP;Flight Departed;QKL;2023-05-18;14:04;2023-05-18;14:08;;;LD;Flight Landed;2A;3614;TRN;LD;Flight Landed
2A3652;FRA;2023-05-18;13:07;2023-05-18;13:10;Station;T06;DP;Flight Departed;MKF;2023-05-18;15:54;2023-05-18;15:56;;;LD;Flight Landed;2A;3652;TRN;LD;Flight Landed
4Y050;FRA;2023-05-18;13:10;2023-05-18;13:41;1;C16;DP;Flight Departed;PHL;2023-05-18;16:10;2023-05-18;16:37;A;A17;LD;Flight Landed;4Y;050;333;LD;Flight Landed
LH418;FRA;2023-05-18;13:10;2023-05-18;13:21;1;Z66;DP;Flight Departed;IAD;2023-05-18;15:55;2023-05-18;15:57;;B45;LD;Flight Landed;LH;418;74H;LD;Flight Landed
LH636;FRA;2023-05-18;13:10;2023-05-18;13:19;1;Z15;DP;Flight Departed;BAH;2023-05-18;20:54;2023-05-18;20:47;;;LD;Flight Landed;LH;636;333;DV;Flight Diverted
LH756;FRA;2023-05-18;13:10;2023-05-18;13:20;1;B44;DP;Flight Departed;BOM;2023-05-19;01:00;2023-05-19;01:17;2;;LD;Flight Landed;LH;756;343;LD;Flight Landed
LH144;FRA;2023-05-18;13:15;2023-05-18;13:29;1;A68;DP;Flight Departed;NUE;2023-05-18;14:00;2023-05-18;13:58;;;LD;Flight Landed;LH;144;319;LD;Flight Landed
LH446;FRA;2023-05-18;13:15;2023-05-18;13:37;1;Z52;DP;Flight Departed;DEN;2023-05-18;15:40;2023-05-18;15:44;;A41;LD;Flight Landed;LH;446;78S;LD;Flight Landed
LH1128;FRA;2023-05-18;13:15;2023-05-18;13:17;1;A28;DP;Flight Departed;BCN;2023-05-18;15:15;2023-05-18;15:07;1;;LD;Flight Landed;LH;1128;32M;LD;Flight Landed
LH1168;FRA;2023-05-18;13:15;2023-05-18;13:31;1;A26;DP;Flight Departed;LIS;2023-05-18;15:20;2023-05-18;15:12;1;;LD;Flight Landed;LH;1168;32Q;LD;Flight Landed
LH078;FRA;2023-05-18;13:20;2023-05-18;13:48;;A38;DP;Flight Departed;DUS;2023-05-18;14:10;2023-05-18;14:38;;A49;LD;Flight Landed;LH;078;320;LD;Flight Landed
LH492;FRA;2023-05-18;13:20;2023-05-18;13:48;1;B46;DP;Flight Departed;YVR;2023-05-18;14:15;2023-05-18;14:23;M;D55;LD;Flight Landed;LH;492;744;LD;Flight Landed
2A3512;FRA;2023-05-18;13:21;2023-05-18;13:45;Station;T07;DP;Flight Departed;QDU;2023-05-18;14:36;2023-05-18;14:58;;;LD;Flight Landed;2A;3512;TRN;LD;Flight Landed
2A3554;FRA;2023-05-18;13:24;2023-05-18;13:50;Station;T05;DP;Flight Departed;ZWS;2023-05-18;14:38;2023-05-18;15:10;;;LD;Flight Landed;2A;3554;TRN;LD;Flight Landed
LH402;FRA;2023-05-18;13:25;2023-05-18;14:10;1;Z62;DP;Flight Departed;EWR;2023-05-18;15:50;2023-05-18;16:20;B;;LD;Flight Landed;LH;402;74H;LD;Flight Landed
LH422;FRA;2023-05-18;13:25;2023-05-18;13:41;1;Z58;DP;Flight Departed;BOS;2023-05-18;16:05;2023-05-18;16:01;E;E10;LD;Flight Landed;LH;422;333;LD;Flight Landed
LH862;FRA;2023-05-18;13:25;2023-05-18;13:42;;A15;DP;Flight Departed;OSL;2023-05-18;15:20;2023-05-18;15:30;;;LD;Flight Landed;LH;862;32A;LD;Flight Landed
LH1114;FRA;2023-05-18;13:25;2023-05-18;13:49;1;A11;DP;Flight Departed;MAD;2023-05-18;16:00;2023-05-18;16:05;2;;LD;Flight Landed;LH;1114;32Q;LD;Flight Landed
LH1310;FRA;2023-05-18;13:25;2023-05-18;13:33;1;A18;DP;Flight Departed;MLA;2023-05-18;16:00;2023-05-18;16:12;;;LD;Flight Landed;LH;1310;32M;LD;Flight Landed
YY3756;FRA;2023-05-18;13:30;;;1;SQAIR;NO;No Status;XER;2023-05-18;16:00;;;;;NO;No Status;YY;3756;BUS;NA;No Status
2A3470;FRA;2023-05-18;13:34;2023-05-18;13:39;Station;T04;DP;Flight Departed;QWU;2023-05-18;15:01;2023-05-18;15:03;;;LD;Flight Landed;2A;3470;TRN;LD;Flight Landed
4Y068;FRA;2023-05-18;13:35;2023-05-18;13:50;1;C13;DP;Flight Departed;MCO;2023-05-18;17:55;2023-05-18;18:24;C;245;LD;Flight Landed;4Y;068;333;LD;Flight Landed
LH498;FRA;2023-05-18;13:35;2023-05-18;13:59;1;B28;DP;Flight Departed;MEX;2023-05-18;17:30;2023-05-18;17:59;1;G26;LD;Flight Landed;LH;498;74H;LD;Flight Landed
