FlightScheduleID,DepAirportCode,DepScheduledTimeLocal,ArrAirportCode,ArrScheduledTimeLocal,Terminal,AirlineID,FlightNumber,AircraftCode,DaysOfOperation,Effective,Expiration
1593,XER,2023-04-22T11:30,FRA,2023-04-22T14:15,1,LH,3757,BUS,1246,2023-04-22,2023-04-29
1594,XER,2023-04-22T11:30,FRA,2023-04-22T14:15,1,LH,3757,BUS,1346,2023-04-22,2023-04-27
1595,XER,2023-04-22T16:45,FRA,2023-04-22T19:30,1,LH,3761,BUS,1346,2023-04-22,2023-04-27
1596,XER,2023-04-22T16:45,FRA,2023-04-22T19:30,1,LH,3761,BUS,4567,2023-04-22,2023-04-28
1597,FRA,2023-04-23T07:10,CPH,2023-04-23T08:30,2,LH,824,321,4567,2023-04-22,2023-04-28
1598,XER,2023-04-22T16:45,FRA,2023-04-22T19:30,1,LH,3761,BUS,356,2023-04-22,2023-04-28
1599,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,16,2023-04-22,2023-04-29
1600,FRA,2023-04-22T10:15,MUC,2023-04-22T11:10,2,LH,100,321,16,2023-04-22,2023-04-29
1601,MUC,2023-04-22T15:45,CTA,2023-04-22T17:50,,LH,1908,32A,16,2023-04-22,2023-04-29
1602,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,1234567,2023-04-21,2023-04-29
1603,FRA,2023-04-22T16:20,DBV,2023-04-22T18:10,,LH,4296,32A,1234567,2023-04-21,2023-04-29
1604,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,6,2023-04-22,2023-10-21
1605,FRA,2023-04-22T18:50,DBV,2023-04-22T20:35,,LH,5990,319,6,2023-04-22,2023-10-21
1606,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,1234567,2023-04-22,2023-04-29
1607,FRA,2023-04-22T16:20,DBV,2023-04-22T18:10,,LH,4296,32A,1234567,2023-04-22,2023-04-29
1608,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,6,2023-04-22,2023-10-21
